variety,approval_no,year,company,found_in_announcement_corpus,yield_2yr_kg_mu,yield_gain_pct,ck,yield_prod_kg_mu,duration_d,blast_index_max,neck_blast_loss_max_grade,blast_text,blb_grade,bph_grade,head_rice_pct,chalkiness_deg_pct,amylose_pct,gel_mm,lw_ratio,quality_grade,region_group,applicant,core9_fields_present,websearch_status,source,confidence
臻两优8612,国审稻20206139,2020,隆平高科,YES,668.36,5.95,丰两优四号,657.06,133.8,,3.0,中抗稻瘟病,7.0,9.0,70.4,1.9,15.7,69.0,2.9,,长江中下游中籼迟熟组,袁隆平农业高科技股份有限公司,8,未执行：本会话 WebSearch 配额已耗尽（200/200）,"农业农村部国家农作物品种审定公告原文，经 GitHub he-zhui/Rice_QA (jw/qa_data.json, source=rice_extracted_fields.csv) 汇编；本项目 scripts/parse_variety_texts.py 正则抽取",高（公告原文字段）
玮两优8612,国审稻20232012,2023,隆平高科,YES,683.0,4.5,,676.4,150.9,,3.0,中抗稻瘟病,,9.0,71.2,4.4,15.3,72.0,3.0,,长江上游中籼迟熟组,袁隆平农业高科技股份有限公司,8,未执行：本会话 WebSearch 配额已耗尽（200/200）,"农业农村部国家农作物品种审定公告原文，经 GitHub he-zhui/Rice_QA (jw/qa_data.json, source=rice_extracted_fields.csv) 汇编；本项目 scripts/parse_variety_texts.py 正则抽取",高（公告原文字段）
C两优华占,国审稻2015022,2015,金色农华,YES,641.8,,丰两优四号,633.9,136.1,3.4,,中感稻瘟病,7.0,9.0,66.8,3.4,13.8,80.0,3.1,,长江中下游中籼迟熟组,湖南金色农华种业科技有限公司,6,未执行：本会话 WebSearch 配额已耗尽（200/200）,"农业农村部国家农作物品种审定公告原文，经 GitHub he-zhui/Rice_QA (jw/qa_data.json, source=rice_extracted_fields.csv) 汇编；本项目 scripts/parse_variety_texts.py 正则抽取",中（部分字段缺失）
深两优5814,国审稻2009016,2009,国家杂交水稻工程技术研究中心,YES,587.19,4.22,Ⅱ优838,537.91,136.8,3.8,,,5.0,9.0,65.8,2.0,16.3,74.0,3.0,2.0,长江中下游迟熟中籼组,国家杂交水稻工程技术研究中心清华深圳龙岗研究所,7,未执行：本会话 WebSearch 配额已耗尽（200/200）,"农业农村部国家农作物品种审定公告原文，经 GitHub he-zhui/Rice_QA (jw/qa_data.json, source=rice_extracted_fields.csv) 汇编；本项目 scripts/parse_variety_texts.py 正则抽取",高（公告原文字段）
欣两优晚一号,国审稻20210310,2021,安徽荃银欣隆种业(荃银子公司),YES,658.88,3.63,,,121.7,,5.0,,7.0,9.0,61.2,0.4,17.6,,3.4,1.0,长江中下游麦茬籼稻组,安徽荃银欣隆种业有限公司,7,成功：WebSearch 命中 ricedata.cn 品种页摘要，返回申请者=选育单位=安徽荃银欣隆种业有限公司（荃银控股子公司）,维度9探针A：机构字段补齐测试（2026-09-14）。性状值来自 national_rice_parsed.csv（公告原文解析）；applicant 列来自 WebSearch 摘要（ricedata.cn / 百科 / 种业商务网索引内容）,高
裕优华占,国审稻20186023,2018,未知,YES,682.7,0.16,F优498,650.03,154.5,,5.0,中感稻瘟病,,,62.5,3.4,15.3,60.0,3.5,3.0,长江上游中籼迟熟组,,9,失败：两轮检索（含改写）均未返回该品种的申请者/选育单位；搜索引擎未索引对应 ricedata 品种页,维度9探针A：机构字段补齐测试（2026-09-14）。性状值来自 national_rice_parsed.csv（公告原文解析）；applicant 列来自 WebSearch 摘要（ricedata.cn / 百科 / 种业商务网索引内容）,低（机构字段未获取）
早丰优6101,国审稻20176088,2017,未知,YES,596.28,,五优308,553.84,117.3,,,感稻瘟病,9.0,9.0,53.3,3.4,19.4,79.3,3.3,3.0,长江中下游晚籼早熟组,,8,失败：两轮检索均未返回机构字段；仅返回 ricedata 站点首页/无关品种,维度9探针A：机构字段补齐测试（2026-09-14）。性状值来自 national_rice_parsed.csv（公告原文解析）；applicant 列来自 WebSearch 摘要（ricedata.cn / 百科 / 种业商务网索引内容）,低（机构字段未获取）
瑞两优1053,国审稻20210299,2021,长沙利诚种业,NO,,,,,,,,,,,,,,,,,,长沙利诚种业有限公司（选育：长沙利诚种业+信阳金誉农业科技）,0,部分成功：拿到机构名，但摘要标注的审定编号为国审稻20200245，与目标编号不一致——存在同名多编号/张冠李戴风险，须二次核验,维度9探针A：机构字段补齐测试（2026-09-14）。性状值来自 national_rice_parsed.csv（公告原文解析）；applicant 列来自 WebSearch 摘要（ricedata.cn / 百科 / 种业商务网索引内容）中（机构名可得但审定编号存疑）,中（机构名可得但审定编号存疑）
N两优091,国审稻20186032,2018,未知,YES,646.68,5.29,F优498,621.82,152.6,,7.0,感稻瘟病,,,67.7,5.9,15.6,70.0,2.9,,长江上游中籼迟熟组,,9,失败：两轮检索均未返回机构字段,维度9探针A：机构字段补齐测试（2026-09-14）。性状值来自 national_rice_parsed.csv（公告原文解析）；applicant 列来自 WebSearch 摘要（ricedata.cn / 百科 / 种业商务网索引内容）,低（机构字段未获取）
C两优晶丝苗,国审稻20210169,2021,未知,NO,,,,,,,,,,,,,,,,,,,0,"失败：检索被""创两优晶丝苗/C两优粤农丝苗""等近名品种干扰，未返回目标品种机构",维度9探针A：机构字段补齐测试（2026-09-14）。性状值来自 national_rice_parsed.csv（公告原文解析）；applicant 列来自 WebSearch 摘要（ricedata.cn / 百科 / 种业商务网索引内容）,低（机构字段未获取）
安优美占,国审稻20186109,2018,未知,YES,563.86,1.13,五优308,533.62,119.2,,7.0,感稻瘟病,,,59.0,0.6,21.3,61.0,3.2,1.0,晚籼早熟组,,9,"失败：两轮检索均未返回；摘要反而错误地给出了""荃优华占""的信息（幻觉/串味风险）",维度9探针A：机构字段补齐测试（2026-09-14）。性状值来自 national_rice_parsed.csv（公告原文解析）；applicant 列来自 WebSearch 摘要（ricedata.cn / 百科 / 种业商务网索引内容）,低（机构字段未获取）
桃湘优188,国审稻20216217,2021,湖南桃花源农业科技,NO,,,,,,,,,,,,,,,,,,湖南桃花源农业科技股份有限公司,0,成功：WebSearch 命中 ricedata.cn 品种页(620895)，申请者=选育单位,维度9探针A：机构字段补齐测试（2026-09-14）。性状值来自 national_rice_parsed.csv（公告原文解析）；applicant 列来自 WebSearch 摘要（ricedata.cn / 百科 / 种业商务网索引内容）,高
精华2号,国审稻20170079,2017,郯城县种苗研究所+河北农林科学院滨海农业研究所,YES,709.31,11.22,,688.2,175.2,,3.0,,,,65.2,4.4,16.6,73.0,,3.0,国家京津塘粳稻组,郯城县种苗研究所、河北省农林科学院滨海农业研究所,7,"成功：WebSearch 命中 ricedata.cn 品种页(616544)；属""企业+科研单位""联合类型",维度9探针A：机构字段补齐测试（2026-09-14）。性状值来自 national_rice_parsed.csv（公告原文解析）；applicant 列来自 WebSearch 摘要（ricedata.cn / 百科 / 种业商务网索引内容）,高
晶两优534,国审稻2016605,2016,隆平高科,YES,626.3,2.09,F优498,630.37,,,,,,,,,,,,,长江上游中籼迟熟组,袁隆平农业高科技股份有限公司、广东省农科院水稻所、深圳隆平金谷种业、湖南隆平高科种业科学研究院,2,成功：WebSearch 命中 ricedata/百科/种业商务网，返回 4 家联合申请单位,维度9探针A：机构字段补齐测试（2026-09-14）。性状值来自 national_rice_parsed.csv（公告原文解析）；applicant 列来自 WebSearch 摘要（ricedata.cn / 百科 / 种业商务网索引内容）,高
荃盛优822,国审稻20251001,2025,荃银,NO（本地公告汇编2025年仅2条，不含）,506.9,-0.1,天优华占,487.9,123.2,4.0,5,中感稻瘟病,9,9（白背飞虱）,54.5,0.9,16.0,72,3.1,NY/T593-2021 二级,华南早籼组,安徽荃银高科种业股份有限公司（年报口径）,9,完全成功：单次检索返回两年区试/生产试验亩产、增产率、生育期、株高穗粒、稻瘟病综合指数、穗颈瘟、白叶枯、白背飞虱、整精米率、垩白度、直链淀粉、胶稠度、长宽比、米质等级——与公告原文字段集一一对应,WebSearch 摘要，命中 zys.moa.gov.cn 2025年审定公告PDF(P020251231701383925523.pdf) + chinaseed114 品种页；PDF 本身 curl/WebFetch 被代理拦截,高
银两优392,（2024年国审，编号未获取）,2024,荃银,NO,599.2,2.8,,549.5,,,,,,,,,,,,,长江中下游双季晚籼早熟组,安徽荃银高科种业股份有限公司,2,部分成功：拿到两年区试亩产(2021:614.5/+2.6%，2022:584.0/+3.0%，两年599.2/+2.8%)与生产试验(549.5/+4.9%)及适宜区域，但生育期/米质/抗性字段缺失；审定编号未返回,WebSearch 摘要，命中 chinaseed114 品种页(seed_91358) + 农业农村部726号公告,中
荃优535,国审稻20251013,2025,荃银,NO,,,丰两优四号,,129.1,3.9,5,中感稻瘟病,9,9,52.8,2.2,16.5,78,3.2,,长江中下游一季中稻,安徽荃银高科种业股份有限公司（品种来源 荃9311A×复恢535）,7,多数成功：生育期/株高/穗粒/抗性/米质全部拿到，唯独两年区试亩产与增产率缺失（需追加一次检索）,WebSearch 摘要（多轮自动改写），命中 2025年国审公告与品种页,中高
荃两优686,国审稻20252009,2025,荃银,NO,,,,,,,,,,,,,,,,,,安徽荃银高科种业股份有限公司（品种来源 荃211S×YR686）,0,基本失败：仅拿到审定编号、亲本组合、申请者，全部区试/米质/抗性定量字段缺失,WebSearch 摘要（农业农村部公告第985号相关报道）,低
荃优6019（检索返回荃两优6019）,国审稻20232050（检索返回20231021）,2023,荃银,YES（荃优6019在本地汇编中，见已有行）,,,,,,3.7/3.0（荃两优6019）,,中感稻瘟病,7,9,60.9,2.0,14.4,73,3.0,,,安徽荃银高科种业股份有限公司,6（但属于另一品种）,"失败并出现张冠李戴：检索""荃优6019/国审稻20232050""返回的是""荃两优6019/国审稻20231021""的数据；摘要自行承认编号不符。命名极近似（荃优X vs 荃两优X）是本渠道的系统性误配来源",WebSearch 摘要,低（错配，不可直接入库）
