id,authors,year,title,journal,vol_issue_pages,doi_or_url,topic,tool,confidence
R18,Mou T-H; Song Q; Liu Y; Song J,2025,"Initiating the commercialization of genetically modified staple crops in China: domestic biotechnological advancements, regulatory milestones, and governance frameworks",GM Crops & Food,16(1):450-481,10.1080/21645698.2025.2520664,T3 GM commercialization,Undermind;PubMed,high
R19,Liang J et al.,2022,The evolution of China's regulation of agricultural biotechnology,aBIOTECH,3(4):237-249,10.1007/s42994-022-00086-1,T3 GM regulation,Undermind;PubMed,high
R20,Kang Y; Deng H; Pray C; Hu R,2022,Managers' attitudes toward gene-editing technology and companies' R&D investment in gene-editing: the case of Chinese seed companies,GM Crops & Food,13(1):309-326,10.1080/21645698.2022.2140567,T3/T7 seed firms gene editing,Undermind,high
R21,Xiao Z; Kerr WA,2022,"Biotechnology in China - regulation, investment, and delayed commercialization",GM Crops & Food,13(1):86-96,10.1080/21645698.2022.2068336,T3 GM,Undermind,high
R22,Xiao Z; Kerr WA,2022,The political economy of China's GMO commercialization dilemma,Food and Energy Security,11(3):e409,10.1002/fes3.409,T3 GM political economy,SG;Undermind,medium
R23,Jin Y; Smeets Kristkova Z; Wesseler JHH,2025,Welfare impacts of China's regulatory change toward genome-edited crops,Trends in Biotechnology,43,10.1016/j.tibtech.2025.04.010,T3 GE welfare,Undermind;PubMed,medium
R24,Deng H; Hu R; Huang J; Pray C; Jin Y; Li Z,2017,"Attitudes toward GM foods, biotechnology R&D investment and lobbying activities among agribusiness firms in the food, feed, chemical and seed industries in China",China Agricultural Economic Review,9(3):385-396,10.1108/CAER-10-2016-0162,T3 firms attitudes,Undermind,high
R25,Deconinck K,2020,"Concentration in seed and biotech markets: Extent, causes, and impacts",Annual Review of Resource Economics,12:129-147,10.1146/annurev-resource-102319-100751,T4 concentration,Consensus;Undermind,high
R26,Deconinck K,2019,New evidence on concentration in seed markets,Global Food Security,23:135-138,10.1016/j.gfs.2019.05.001,T4 concentration,Consensus;Undermind,high
R27,Spies M,2025,Local seed systems and Global China: the spread of Chinese hybrid seeds in Pakistan and Tajikistan,Journal of Peasant Studies,52(5):1295-1322,10.1080/03066150.2025.2462762,T4 Chinese seed firms abroad,Undermind,high
R28,Schneider M,2017,Dragon head enterprises and the state of agribusiness in China,Journal of Agrarian Change,17(1):3-21,10.1111/joac.12151,T8 dragon head,Consensus;SG,high
R29,Zhang QF,2012,The political economy of contract farming in China's agrarian transition,Journal of Agrarian Change,12(4):460-483,10.1111/j.1471-0366.2012.00352.x,T2 contract farming,SG;Undermind,high
R30,Guo H; Jolly RW; Zhu J,2007,Contract farming in China: Perspectives of farm households and agribusiness firms,Comparative Economic Studies,49(2):285-312,10.1057/palgrave.ces.8100202,T2 contract farming,Consensus;Undermind,high
R31,Guo H; Jolly RW,2008,Contractual arrangements and enforcement in transition agriculture: Theory and evidence from China,Food Policy,33(6):570-575,10.1016/j.foodpol.2008.04.003,T2 contract enforcement,Undermind,medium
R32,Wang HH; Wang Y; Delgado MS,2014,The transition to modern agriculture: Contract farming in developing economies,American Journal of Agricultural Economics,96(5):1257-1271,10.1093/ajae/aau036,T2 review,SG;Undermind,high
R33,Miyata S; Minot N; Hu D,2009,"Impact of contract farming on income: Linking small farmers, packers, and supermarkets in China",World Development,37(11):1781-1790,10.1016/j.worlddev.2008.08.025,T2/T8 income effect,Undermind,high
R34,Jia X; Huang J,2011,Contractual arrangements between farmer cooperatives and buyers in China,Food Policy,36(5):656-666,10.1016/j.foodpol.2011.06.007,T2 cooperatives contracts,Undermind,medium
R35,Wang H; Zhang Y; Wu L,2011,Is contract farming a risk management instrument for Chinese farmers? Evidence from a survey of vegetable farmers in Shandong,China Agricultural Economic Review,3(4):489-505,10.1108/17561371111192347,T2 contract motives,Undermind,high
R36,Luo Y; Fang X; Wang HH,2013,The problem of low contract compliance rate in grain transactions in China,China: An International Journal,11(3):123-135,10.1353/chn.2013.0024,T2 grain contract compliance,Undermind,high
R37,Wu W; Wu G; Yin C; Chien H,2020,Impact of contract farming on farmers' income: A case of Wuchang rice in China,JARQ,54(2):171-177,10.6090/jarq.54.171,T2 rice contract farming,Undermind,high
R38,Li J-J; Li J-P; Xiao Q; Wu H; Liu D,2026,Premium procurement channel access and farm-gate prices: evidence from rice farmers in China,Food Policy,103132,10.1016/j.foodpol.2026.103132,T2 quality premium channel,Undermind,medium
R39,Zhang X; Wan X; Liu P,2023,The impact of participation in agricultural industry organizational models on crop yields: evidence from Chinese wheat growers,Scientific Reports,13,10.1038/s41598-023-43879-0,T8 organization models wheat,Undermind,high
R40,Li Q; Wang Z,2024,Impact of contract farming on green technological efficiency of farmers: a comparative study of two contract organizational models,Frontiers in Sustainable Food Systems,8:1368997,10.3389/fsufs.2024.1368997,T2 integrated vs quasi-integrated,Undermind,high
R41,Zhang H; Wu D,2023,The impact of rural industrial integration on agricultural green productivity based on the contract choice perspective of farmers,Agriculture,13(9):1851,10.3390/agriculture13091851,T8 grain farmers Henan,Undermind,high
R42,Hou J; Wu L; Hou B,2020,"Risk attitude, contract arrangements and enforcement in food safety governance: A China's agri-food supply chain scenario",IJERPH,17(8):2733,10.3390/ijerph17082733,T2 contract enforcement,Undermind;PubMed,high
R43,Wan J; Zeng L; Ao J,2018,"Specific investment, relational governance and cooperation risk: from the perspective of farmers in China's Company+Farmers alliance",Applied Economics,51(7):676-686,10.1080/00036846.2018.1508868,T2 relational governance,Undermind,high
R44,Fu S; Zhan Y; Ouyang J; Ding Y; Tan K; Fu L,2020,"Power, supply chain integration and quality performance of agricultural products: evidence from contract farming in China",Production Planning & Control,31(14):1119-1135,10.1080/09537287.2020.1794074,T2 quality performance,Consensus;Undermind,high
R45,Chen J; Chen Y-J,2021,The impact of contract farming on agricultural product supply in developing economies,Production and Operations Management,30(8):2395-2419,10.1111/poms.13382,T2 theory,Consensus;Undermind,high
R46,Zhang W et al.,2023,Dynamic incentives for sustainable contract farming,Production and Operations Management,32(7):2049-2067,10.1111/poms.13956,T2 theory,Consensus;Undermind,high
R47,Saenger C; Qaim M; Torero M; Viceisza A,2013,Contract farming and smallholder incentives to produce high quality: experimental evidence from the Vietnamese dairy sector,Agricultural Economics,44(3):297-308,10.1111/agec.12012,T2 quality incentives,Undermind,high
R48,Goodhue RE,2011,Food quality: The design of incentive contracts,Annual Review of Resource Economics,3:119-140,10.1146/annurev-resource-040709-135037,T2 theory,Undermind,medium
R49,Li J; Qing P; Hu W; Li M,2021,"Contract farming, community effect, and farmer valuation of biofortified crop varieties in China: The case of high-zinc wheat",Review of Development Economics,26(2):1035-1055,10.1111/rode.12847,T2/T5 variety valuation,SG;Undermind,high
R50,Hu R; Fang H; Liu W,2025,How do vertical alliances form in agricultural supply chains? An evolutionary game analysis based on Chinese experience,Sustainability,17(17):7975,10.3390/su17177975,T2/T8 consortium,Undermind,high
R51,Ma W; Abdulai A,2016,Linking apple farmers to markets: Determinants and impacts of marketing contracts in China,China Agricultural Economic Review,8(1):2-21,10.1108/CAER-04-2015-0035,T2 marketing contracts,Undermind,high
R52,Zhang H; Ma W,2024,Marketing contracts and technical efficiency of citrus production,China Agricultural Economic Review,,10.1108/caer-10-2023-0280,T2 marketing contracts,Undermind,high
R53,Sun X et al.,2023,Promotion effect of agricultural production trusteeship on high-quality production of grain - Evidence from the perspective of farm households,Agronomy,13(8):2024,10.3390/agronomy13082024,T8 trusteeship quality grain,Undermind,high
R54,Huang M,2022,The decreasing area of hybrid rice production in China: causes and potential effects on Chinese rice self-sufficiency,Food Security,14(1):267-272,10.1007/s12571-021-01199-z,T5 hybrid rice decline,Consensus;WebSearch;Undermind,high
R55,Huang M; Zou Y,2018,Integrating mechanization with agronomy and breeding to ensure food security in China,Field Crops Research,224:22-27,10.1016/j.fcr.2018.05.001,T5 hybrid rice decline,Consensus;Undermind,high
R56,Peng S (彭少兵),2016,转型时期杂交水稻的困境与出路,作物学报,42(3):313-319,10.3724/SP.J.1006.2016.00313,T5 hybrid rice dilemma,WebSearch;Undermind,high
R57,Yan Z et al.,2022,An economic assessment of adoption of hybrid rice: Micro-level evidence from southern China,Frontiers in Sustainable Food Systems,6:1066657,10.3389/fsufs.2022.1066657,T5 hybrid rice adoption ESR,Consensus;Undermind,high
R58,Wang Q; Bin B; Wang H,2023,Dynamic diffusion of hybrid rice varieties and the effect on rice production: evidence from China,Frontiers in Sustainable Food Systems,7:1071234,10.3389/fsufs.2023.1071234,T5/T6 diffusion,Consensus;Undermind,high
R59,Lin JY,1991,The household responsibility system reform and the adoption of hybrid rice in China,Journal of Development Economics,36(2):353-372,10.1016/0304-3878(91)90041-S,T5 hybrid rice adoption,Undermind,high
R60,Lin JY,1994,Impact of hybrid rice on input demand and productivity,Agricultural Economics,10(2):153-164,10.1016/0169-5150(94)90004-3,T5,SG;Undermind,high
R61,Qiu H; Wang X; Zhang C; Xu Z,2016,Farmers' seed choice behaviors under asymmetrical information: Evidence from maize farming in China,Journal of Integrative Agriculture,15(8):1915-1923,10.1016/S2095-3119(15)61326-0,T5 seed choice,Undermind,high
R62,Li D; Liu M; Deng G,2010,Willingness and determinants of farmers' adoption of new rice varieties,China Agricultural Economic Review,2(4):456-471,10.1108/17561371011097759,T5 variety adoption,Undermind,high
R63,Bai J; Xu Z; Qiu H; Liu H,2015,Optimising seed portfolios to cope ex ante with risks from bad weather: evidence from a recent maize farmer survey in China,AJARE,59(2):242-257,10.1111/1467-8489.12056,T5 variety portfolio,Undermind,high
R64,Miao B et al.,2026,Farmers' willingness to pay a premium for certified maize seeds in China,Agribusiness,early view,10.1002/agr.70065,T5 WTP certified seed,SG;WebSearch,high
R65,Zhang B et al.,2025,Research on farmers' willingness to grow high-quality rice based on the TAM-TPB model: evidence from China,Frontiers in Nutrition,12:1535720,10.3389/fnut.2025.1535720,T5 high-quality rice,Undermind,high
R66,Jin Y; Gardebroek C; Heerink N,2024,The impact of Chinese rice support policies on rice acreages,Food Security,16:705-719,10.1007/s12571-024-01447-y,T5 policy,Undermind,high
R67,Tan Y et al.,2024,Grain price support policy and the distortion of market price,China Agricultural Economic Review,,10.1108/caer-06-2023-0159,T5 policy,Undermind,high
R68,Zilberman D; Lu L; Reardon T,2017,Innovation-induced food supply chain design,Food Policy,83:289-297,10.1016/j.foodpol.2017.03.010,T6 innovation-chain,Undermind,medium
R69,Zilberman D et al.,2022,"From the laboratory to the consumer: Innovation, supply chain, and adoption with applications to natural resources",PNAS,119(23):e2115880119,10.1073/pnas.2115880119,T6,Undermind,medium
R70,Reardon T et al.,2019,Rapid transformation of food systems in developing regions: Highlighting the role of agricultural research & innovations,Agricultural Systems,172:47-59,10.1016/j.agsy.2018.01.022,T6,Undermind,medium
R71,Kuijpers R; Swinnen J,2016,Value chains and technology transfer to agriculture in developing and emerging economies,American Journal of Agricultural Economics,98(5):1403-1418,10.1093/ajae/aaw069,T6,SG,medium
R72,Devaux A et al.,2018,Agricultural innovation and inclusive value-chain development: a review,Journal of Agribusiness in Developing and Emerging Economies,8(1):99-123,10.1108/JADEE-06-2017-0065,T6,Undermind,medium
R73,Chen C; Gao J; Cao H; Chen W,2024,Unpacking the agricultural innovation and diffusion for modernizing the smallholders in rural China: From the perspective of agricultural innovation system and its governance,Journal of Rural Studies,110:103385,10.1016/j.jrurstud.2024.103385,T6 AIS China,Undermind,medium
R74,Khed VD; Jaleta M; Krishna VV,2024,Wheat seed delivery pathways and varietal turnover in eastern India,Agribusiness,42(3):1145-1173,10.1002/agr.21971,T6 seed delivery,SG;Undermind,high
R75,Kala-Satheesh HK et al.,2024,"Seed market dynamics and diffusion of new wheat varieties in Bihar, India: a supply-side perspective",Agricultural and Food Economics,12,10.1186/s40100-024-00330-w,T6 dealers,Undermind,high
R76,Spielman DJ; Kennedy A,2016,Towards better metrics and policymaking for seed system development: Insights from Asia's seed industry,Agricultural Systems,147:111-122,10.1016/j.agsy.2016.05.015,T3/T6 seed system metrics,Undermind,high
R77,Mo M et al.,2025,Analysis of technology innovation efficiency and its impact factors based on DEA-fsQCA method: Evidence from listed seed companies in China,Heliyon,11:e42914,10.1016/j.heliyon.2025.e42914,T7 listed seed firms,Consensus;PubMed,high
R78,Li L; Zhang L; Wang X,2024,Research on the dynamic evaluation of the competitiveness of listed seed enterprises in China,Agriculture,14(8):1213,10.3390/agriculture14081213,T7 listed seed firms,Consensus;Undermind,high
R79,Zhang N; Talib Z; Ahmad M,2025,Impact of technological innovation on the performance of Chinese listed seed companies: The moderating role of supply chain concentration,Edelweiss Applied Science and Technology,9(3),10.55214/25768484.v9i3.5179,T7 R&D-ROE lags,Consensus;Undermind,high(non-core journal)
R80,Su Z; Zhang M; Sun J; Wu W,2022,Agribusiness diversification and technological innovation efficiency: A U-shaped relationship,Agribusiness,39(2):322-346,10.1002/agr.21785,T7 listed agribusiness,SG,high
R81,Yan L,2020,Research on R&D efficiency evaluation of Chinese seed industry listed companies based on three-stage DEA model,J. Phys.: Conf. Ser.,1549:042040,10.1088/1742-6596/1549/4/042040,T7,Consensus;Undermind,high(non-core)
R82,Jin Q et al.,2024,Exploring cooperative mechanisms in the Chinese agricultural value chain: A game model analysis based on leading enterprises and small farmers,Agriculture,14(3):437,10.3390/agriculture14030437,T8 leading enterprises,Consensus;Undermind,high
R83,Li W et al.,2023,Factors influencing farmers' vertical collaboration in the agri-chain guided by leading enterprises: A study of the table grape industry in China,Agriculture,13(10):1915,10.3390/agriculture13101915,T8,Undermind,high
R84,Liu C; Li W; You Y; Yang Q; Li M,2025,Research on leading agricultural enterprises guiding farmers' participation in pre-production quality and safety control: evidence from the Yangtze River Delta Region of China,Frontiers in Sustainable Food Systems,9:1615223,10.3389/fsufs.2025.1615223,T8,Undermind,high
R85,Mao H et al.,2019,"Risk preferences, production contracts and technology adoption by broiler farmers in China",China Economic Review,54,10.1016/j.chieco.2018.10.014,T8 contracts tech adoption,Undermind,medium
R86,Huang Z et al.,2018,One size fits all? Contract farming among broiler producers in China,Journal of Integrative Agriculture,17(2):473-482,10.1016/S2095-3119(17)61752-0,T8,Undermind,medium
R87,Ma W; Abdulai A,2017,The economic impacts of agricultural cooperatives on smallholder farmers in rural China,Agribusiness,33(4):537-551,10.1002/agr.21522,T8 cooperatives,Undermind,medium
R88,Hoken H; Su Q,2018,Measuring the effect of agricultural cooperatives on household income: Case study of a rice-producing cooperative in China,Agribusiness,34(4):831-846,10.1002/agr.21554,T8 rice cooperative,SG;Undermind,medium
R89,王志刚; 于滨铜,2019,农业产业化联合体概念内涵、组织边界与增效机制：安徽案例举证,中国农村经济,2019(2),https://zgncjj.ajcass.com/UploadFile/Issue/jgdkj4tg.pdf,T8 consortium,WebSearch,high
R90,刘晓鸥; 邸元,2013,订单农业对农户农业生产的影响——基于三省（区）1041个农户调查数据的分析,(journal to verify; likely 中国农村经济),pp.48-59,https://www.semanticscholar.org/paper/679230338cbbf76d2dd071d74bb17466bbaf3ae7,T2 order agriculture,Undermind,high
R91,黄毅; 柳思维,2015,国际种业垄断：理论解释、实证测算及趋势,(journal to verify),pp.79-91,https://www.semanticscholar.org/paper/13afe1d91d2e82f3c0efc32a7c542b2fbb0743a3,T4 concentration CR/HHI,Undermind,high
R92,詹金涛,2013,UPOV派生品种制度对中国农业自主创新的影响：基于水稻新品种的实证,南京农业大学学报(社会科学版),,https://www.semanticscholar.org/paper/07ad4bc10cd674642bb2bb1faff167132de0a317,T3 EDV,Undermind,high
R93,公茂刚; 高心宇,2025,基于全产业链整合的现代种业创新发展机制与路径研究,农业现代化研究,online first,10.13872/j.1000-0275.2025.0749,T1 whole chain,WebSearch,medium
R94,Zheng H et al.,2021,Overview of the global crop seed industry and strategic thinking on its development in China,中国工程科学 (Strategic Study of CAE),23(4),10.15302/J-SSCAE-2021.04.022,T1,Consensus;WebSearch,medium
R95,Smart RD; Ait Sidhoum A; Sauer J,2021,Decomposition of efficiency in the global seed industry: A nonparametric approach,Managerial and Decision Economics,43(6):2133-2147,10.1002/mde.3514,T4 global firms efficiency,SG,high
R96,Hervouet A; Lemarie S,2024,"Farm-saved seed, royalty rates, and innovation in plant breeding",American Journal of Agricultural Economics,,10.1111/ajae.12489,T3 royalty theory,Undermind,high
R97,Kolady DE; Spielman DJ; Cavalieri A,2012,The impact of seed policy reforms and intellectual property rights on crop productivity in India,Journal of Agricultural Economics,63(2):361-384,10.1111/j.1477-9552.2012.00335.x,T3 comparative,SG,medium
R98,Zhang L; Li G; He H,2018,Controlling corporate power in China: Case studies of seed companies and water distribution,American Journal of Economics and Sociology,77(2):511-540,10.1111/ajes.12210,T4 seed company power,SG,medium
R99,Ton G et al.,2017,The effectiveness of contract farming for raising income of smallholder farmers in low- and middle-income countries: a systematic review,Campbell Systematic Reviews,13(1):1-131,10.4073/csr.2017.13,T2 meta-analysis,SG,high
R100,Bellemare MF,2012,"As you sow, so shall you reap: The welfare impacts of contract farming",World Development,40(7):1418-1434,10.1016/j.worlddev.2011.12.008,T2 welfare,Undermind,medium
