topic,first_author,year,title,journal,vol_issue_pages,doi,tool,confidence,method_template
1 遗传增益/审定数据,Wang H. et al.,2022,Grain yield improvement in high-quality rice varieties released in southern China from 2007 to 2017,Frontiers in Sustainable Food Systems,6:986655,10.3389/fsufs.2022.986655,Consensus;Undermind,高,★
1 遗传增益/审定数据,Zeng Y. et al.,2019,Changes in the rice grain quality of different high-quality rice varieties released in southern China from 2007 to 2017,Journal of Cereal Science,NA,10.1016/J.JCS.2019.03.015,Consensus;Undermind,高,
1 遗传增益/审定数据,Huang G. et al.,2024,Changes in the Grain Yield and Quality of Early Indica Rice from 2000 to 2020 in Southern China,Agronomy,14(2):295,10.3390/agronomy14020295,Consensus,高,
1 遗传增益/审定数据,"Liu F., Zhou C., Huang M.",2025,Progress in improving early-season rice quality in Hunan Province of China,Cogent Food & Agriculture,NA,10.1080/23311932.2025.2588844,Consensus;Undermind,高,★
1 遗传增益/审定数据,Wang H. et al.,2025,"Changes in Rice Yield and Quality from 1994 to 2023 in Shanghai, China",Agronomy,15(3):670,10.3390/agronomy15030670,Undermind,高,
1 遗传增益/审定数据,Zou Y. et al.,2024,"Evaluation of Breeding Progress and Agronomic Traits for Japonica Rice in Anhui Province, China (2005-2024)",Agronomy,14(12):2957,10.3390/agronomy14122957,Undermind,高,
1 遗传增益/审定数据,Fan J.-J. et al.,2026,Genetic diversity analysis of newly approved rice cultivars in southern China from 2014 to 2022,Genetic Resources and Crop Evolution,NA,10.1007/s10722-026-02801-z,Undermind,高,
1 遗传增益/审定数据,Tang S.-X.,2011,Analysis on Grain Quality of Indica Hybrid Rice Combinations Bred During Recent Twenty-Five Years in China,Chinese Journal of Rice Science,NA,NA,Undermind,高,
1 遗传增益/审定数据,Mo H.-L. et al.,2015,Main disease resistance and breeding tendency of photosensitive hybrid rice varieties registered in Guangxi during the past decade,Journal of Southern Agriculture,194-198,NA,Undermind,高,
1 遗传增益/审定数据,Si H.-M. et al.,2011,Current Situation and Suggestions for Development of Two-Line Hybrid Rice in China,Chinese Journal of Rice Science,544-552,NA,Undermind,高,
2 企业品种表现,Chen R. et al.,2025,"Yield, Stability, and Adaptability of Hybrid Japonica Rice Varieties in the East Coast of China",Agronomy,15(4):901,10.3390/agronomy15040901,Consensus;Undermind,高,★
2 企业品种表现,Song J. et al.,2023,"Molecular Breeding of Zheyou810, an Indica-Japonica Hybrid Rice Variety with Superior Quality and High Yield",Agriculture,NA,NA,Consensus,高,
2 企业品种表现,He Z. et al.,2022,Genomics-Assisted Improvement of Super High-Yield Hybrid Rice Variety Super 1000 for Resistance to Bacterial Blight and Blast Diseases,Frontiers in Plant Science,13:881244,10.3389/fpls.2022.881244,Consensus;PubMed,高,
2 企业品种表现,Jiang P. et al.,2016,Potential Yield Increase of Hybrid Rice at Five Locations in Southern China,Rice,9 (art. s12284-016-0085-6),10.1186/s12284-016-0085-6,Undermind;WebSearch,高,
3 再生稻,Xu F. et al.,2021,"The ratoon rice system with high yield and high efficiency in China: Progress, trend of theory and technology",Field Crops Research,NA,10.1016/j.fcr.2021.108282,Consensus;Undermind,高,
3 再生稻,"Peng S., Zheng C., Yu X.",2023,Mechanized rice ratooning technology in China: Progress and challenges,Crop and Environment,NA,10.1016/j.crope.2023.02.005,Consensus;Undermind,高,
3 再生稻,Saito K. et al.,2024,Ratoon rice research: Review and prospect for the tropics,Field Crops Research,314:109414,10.1016/j.fcr.2024.109414,Consensus;PubMed,高,
3 再生稻,Yang C. et al.,2025,Varietal improvement is a feasible approach for achieving high yield and superior quality simultaneously in ratoon rice,Field Crops Research,NA,10.1016/j.fcr.2025.109772,Consensus;Undermind,高,★
3 再生稻,He H. et al.,2024,Critical yield components for achieving high annual grain yield in ratoon rice,Scientific Reports,14(1):23190,10.1038/s41598-024-74836-0,Undermind;PubMed,高,★
3 再生稻,"Liu B., Yuan S., Peng S.",2024,A Synthesis Analysis of the Relationship between Main and Ratoon Crop Grain Yields in Ratoon Rice,Agronomy,14(9):2170,10.3390/agronomy14092170,Consensus;Undermind,高,
3 再生稻,Chen Q. et al.,2018,Comparisons of regeneration rate and yields performance between inbred and hybrid rice cultivars in a direct seeding rice-ratoon rice system in central China,Field Crops Research,NA,10.1016/J.FCR.2018.04.010,Consensus;Undermind,高,
3 再生稻,Yuan S. et al.,2019,Can ratoon cropping improve resource use efficiencies and profitability of rice in central China?,Field Crops Research,234:66-72,10.1016/j.fcr.2019.02.004,Consensus;Undermind,高,★
3 再生稻,Yu H. et al.,2024,"Responses of yield, CH4 and N2O emissions to ratoon rice cropping and different management practices",Field Crops Research,NA,10.1016/j.fcr.2024.109622,Consensus;Undermind,高,★
3 再生稻,Zhou Y. et al.,2023,"Exploring a sustainable rice-cropping system to balance grain yield, environmental footprint and economic benefits in the middle and lower reaches of the Yangtze River in China",Journal of Cleaner Production,NA,NA,Consensus,高,
3 再生稻,Xu Y. et al.,2021,Conversion from double-season rice to ratoon rice paddy fields reduces carbon footprint and enhances net ecosystem economic benefit,Science of the Total Environment,152550,10.1016/j.scitotenv.2021.152550,Consensus;Undermind,高,
3 再生稻,Yuan S. et al.,2022,"On-farm comparison in grain quality between main and ratoon crops of ratoon rice in Hubei Province, central China",Journal of the Science of Food and Agriculture,102(15):7259-7267,10.1002/jsfa.12091,Scholar Gateway;Undermind,高,
3 再生稻,Zou J. et al.,2026,Ratoon Season Rice Reduces Methane Emissions by Limiting Acetic Acid Transport to the Rhizosphere and Inhibiting Methanogens,Advanced Science,13(8),10.1002/advs.202507916,Scholar Gateway,高,
3 再生稻,Song K. et al.,2021,"Methane and nitrous oxide emissions from a ratoon paddy field in Sichuan Province, China",European Journal of Soil Science,72(3):1478-1491,10.1111/ejss.13066,Scholar Gateway;Undermind,高,
3 再生稻,Hu X. et al.,2024,Stubble height and irrigation significantly influenced the carbon footprint of ratoon rice cropping system in South China,Field Crops Research,NA,10.1016/j.fcr.2024.109609,Consensus,高,
3 再生稻,"Shen X., Zhang L., Zhang J.",2020,Ratoon rice production in central China: Environmental sustainability and food production,Science of the Total Environment,142850,10.1016/j.scitotenv.2020.142850,Undermind,高,
3 再生稻,Zhou Y. et al.,2025,Yield Loss of a Rice Ratoon Crop is Affected by Nitrogen Supply in a Mechanized Ratooning System,Food and Energy Security,14(1),10.1002/fes3.70041,Scholar Gateway,高,
4 机械化栽培,"Huang M., Zou Y.",2018,Integrating mechanization with agronomy and breeding to ensure food security in China,Field Crops Research,NA,10.1016/J.FCR.2018.05.001,Undermind,高,★
4 机械化栽培,Huang M. et al.,2020,Primary-tiller panicle number is critical to achieving high grain yields in machine-transplanted hybrid rice,Scientific Reports,10(1):2811,10.1038/s41598-020-59751-4,Consensus;PubMed,高,
4 机械化栽培,Huang M. et al.,2017,Yield potential and stability in super hybrid rice and its production strategies,Journal of Integrative Agriculture,16(5):1009-1017,10.1016/S2095-3119(16)61535-6,Consensus;Undermind,高,
4 机械化栽培,Deng F. et al.,2022,Growth characteristics and grain yield of machine-transplanted medium indica hybrid rice with high daily yield,Journal of Integrative Agriculture,NA,NA,Consensus,高,★
4 机械化栽培,Liao P.-Q. et al.,2022,"Potted-Seedling Machine Transplantation Simultaneously Promotes Rice Yield, Grain Quality, and Lodging Resistance in China: A Meta-Analysis",Agronomy,12(12):3003,10.3390/agronomy12123003,Consensus,高,
4 机械化栽培,Shan S. et al.,2020,Printed sowing improves grain yield with reduced seed rate in machine-transplanted hybrid rice,Field Crops Research,107676,10.1016/j.fcr.2019.107676,Consensus,高,
4 机械化栽培,Wang W. et al.,2021,Effects of different mechanical direct seeding methods on grain yield and lodging resistance of early indica rice in South China,Journal of Integrative Agriculture,20(5):1204-1215,10.1016/S2095-3119(20)63191-4,Consensus;Undermind,高,
4 机械化栽培,Yang Z. et al.,2022,Can reduced-input direct seeding improve resource use efficiencies and profitability of hybrid rice in China?,Science of the Total Environment,155186,10.1016/j.scitotenv.2022.155186,Undermind,高,
4 机械化栽培,"Liu K., Huang M.",2026,Assessments of rice establishment methods adapted to shrinking farming workforces in southern China,Agronomy Journal,118(3),10.1002/agj2.70407,Scholar Gateway,高,
5 品质育种,Huang M. et al.,2022,Slimming the Grain through Breeding Is a Practical Way to Reduce the Chalky Grain Rate of Middle-Season Hybrid Rice,Agronomy,12(8):1886,10.3390/agronomy12081886,Undermind,高,
5 品质育种,Gao J. et al.,2024,Genetic Effects of Grain Quality Enhancement in Indica Hybrid Rice: Insights for Molecular Design Breeding,Rice,17(1):39,10.1186/s12284-024-00719-7,PubMed,高,
5 品质育种,Yang X. et al.,2023,Molecular basis of genetic improvement for key rice quality traits in Southern China,Genomics,110745,10.1016/j.ygeno.2023.110745,Undermind,高,
6 谷草兼用/脆秆,Ma X. et al.,2021,Rice Brittle Culm19 Encoding Cellulose Synthase Subunit CESA4 Causes Dominant Brittle Phenotype But has No Distinct Influence on Growth and Grain Yield,Rice,14 (art. s12284-021-00536-2),10.1186/s12284-021-00536-2,Consensus;Amass,高,★
6 谷草兼用/脆秆,Chen (Dong) C. et al.,2020,Developing ratoon rice as forage in subtropical and temperate areas,Field Crops Research,107660,10.1016/j.fcr.2019.107660,Undermind,高,
6 谷草兼用/脆秆,Ouyang Y. et al.,2025,Strategies for enhancing yield and quality of forage-grain dual-purpose ratoon rice: role of first-season density and nitrogen management,Frontiers in Plant Science,16:1650539,10.3389/fpls.2025.1650539,Consensus;PubMed;Amass,高,
6 谷草兼用/脆秆,Chen Y. et al.,2023,Cutting time & height improve carbon and energy use efficiency of the forage-food dual-purpose ratoon rice cropping,Heliyon,9:e14042,10.1016/j.heliyon.2023.e14042,Amass;Undermind,高,
6 谷草兼用/脆秆,Wang H. et al.,2006,"Morphological fractions, chemical compositions and in vitro gas production of rice straw from wild and brittle culm1 variety harvested at different growth stages",Animal Feed Science and Technology,129:159-171,10.1016/J.ANIFEEDSCI.2005.12.009,Consensus;Undermind,高,
7 超级稻,"Wang F., Peng S.",2017,Yield potential and nitrogen use efficiency of China's super rice,Journal of Integrative Agriculture,16(5):1000-1008,10.1016/S2095-3119(16)61561-7,Consensus;Undermind,高,
7 超级稻,"Tang L., Xu Z., Chen W.",2017,Advances and prospects of super rice breeding in China,Journal of Integrative Agriculture,16(5):984-991,10.1016/S2095-3119(16)61604-0,Consensus;Undermind,高,
7 超级稻,Cao L. et al.,2010,Breeding Methodology and Practice of Super Rice in China,Rice Science,NA,NA,Consensus,高,
7 超级稻,Cheng S. et al.,2007,Progress in Research and Development on Hybrid Rice: A Super-domesticate in China,Annals of Botany,100(5):959-966,NA,Consensus;WebSearch,高,
7 超级稻,"Ma G., Yuan L.",2015,"Hybrid rice achievements, development and prospect in China",Journal of Integrative Agriculture,14(2):197-205,10.1016/S2095-3119(14)60922-9,Consensus;Undermind,高,
7 超级稻,Zheng X. et al.,2024,A historical review of hybrid rice breeding,Journal of Integrative Plant Biology,66(3):532-545,10.1111/jipb.13598,Consensus;Scholar Gateway,高,
8 稻瘟病抗性,"Xiao N., Wu Y., Li A.",2020,Strategy for Use of Rice Blast Resistance Genes in Rice Molecular Breeding,Rice Science,27:263-277,10.1016/j.rsci.2020.05.003,Consensus;Undermind,高,
8 稻瘟病抗性,Wang K. et al.,2025,Enhancing the blast resistance of an elite TGMS line Longke638S and its derived hybrid varieties by incorporating Pigm gene,Molecular Breeding,NA,10.1007/s11032-025-01555-3,Consensus,高,
8 稻瘟病抗性,Xiao G. et al.,2020,Prevalence of Ineffective Haplotypes at the Rice Blast Resistance (R) Gene Loci in Chinese Elite Hybrid Rice Varieties Revealed by Sequence-Based Molecular Diagnosis,Rice,13 (art. s12284-020-0367-x),10.1186/s12284-020-0367-x,Undermind,高,
8 稻瘟病抗性,Jiang H. et al.,2019,Development and evaluation of improved lines with broad-spectrum resistance to rice blast using nine resistance genes,Rice,12 (art. s12284-019-0292-z),10.1186/s12284-019-0292-z,Undermind,高,
8 稻瘟病抗性,Wu Y. et al.,2019,Comprehensive evaluation of resistance effects of pyramiding lines with different broad-spectrum resistance genes against Magnaporthe oryzae,Rice,12 (art. s12284-019-0264-3),10.1186/s12284-019-0264-3,Consensus,高,
8 稻瘟病抗性,Feng Z. et al.,2022,Development of Rice Variety With Durable and Broad-Spectrum Resistance to Blast Disease Through Marker-Assisted Introduction of Pigm Gene,Frontiers in Plant Science,13:937767,10.3389/fpls.2022.937767,Consensus,高,
8 稻瘟病抗性,Peng P. et al.,2023,"Pyramiding of Multiple Genes to Improve Rice Blast Resistance of PTGMS Line, without Yield Penalty in Hybrid Rice Production",Plants,12(6):1389,10.3390/plants12061389,Undermind,高,
9 制种机械化/第三代,Yan Y. et al.,2026,"Innovations in hybrid rice seed production: Integrating agronomy, mechanization, and biotechnology",Plant Communications,NA,10.1016/j.xplc.2026.101931,Consensus;Undermind,高,★
9 制种机械化/第三代,Chen Z. et al.,2023,Establishment and Advances of Third-Generation Hybrid Rice Technology: A Review,Rice,16 (art. s12284-023-00670-z),10.1186/s12284-023-00670-z,Consensus;Undermind,高,
9 制种机械化/第三代,Liao C. et al.,2021,Innovation and development of the third-generation hybrid rice technology,The Crop Journal,NA,10.1016/J.CJ.2021.02.003,Consensus;Undermind,高,
9 制种机械化/第三代,Song S. et al.,2021,A novel strategy for creating a new system of third-generation hybrid rice technology using a cytoplasmic sterility gene and a genic male-sterile gene,Plant Biotechnology Journal,19(2):251-260,10.1111/pbi.13457,Consensus;Scholar Gateway,高,
9 制种机械化/第三代,"Huang K., Li Y.",2024,Genetic editing of grain size genes enables fully mechanized hybrid rice breeding (Research Briefing for GSE3 Nature Plants paper),Nature Plants,10:844-845,10.1038/s41477-024-01722-y,Consensus;Undermind,高,★
9 制种机械化/第三代,Xia Y. et al.,2019,A method for mechanized hybrid rice seed production using female sterile rice,Rice,12 (art. s12284-019-0296-8),10.1186/s12284-019-0296-8,Undermind,高,
10 转基因玉米,Yang X.-M. et al.,2023,Bt maize can provide non-chemical pest control and enhance food safety in China,Plant Biotechnology Journal,21(2):391-404,10.1111/pbi.13960,Consensus;Undermind;Scholar Gateway,高,★
10 转基因玉米,Quan Y. et al.,2026,"Commercial planting of genetically modified maize lowers pest damage, yield loss and pesticide usage in Northeast China",Pest Management Science,82(8):7286-7297,10.1002/ps.70796,Consensus;Undermind;Scholar Gateway,高,★
10 转基因玉米,Liang J. et al.,2022,The evolution of China's regulation of agricultural biotechnology,aBIOTECH,3:237-249,10.1007/s42994-022-00086-1,Consensus;Undermind,高,
10 转基因玉米,Liang J. et al.,2025,"Agricultural biotechnology in China: product development, commercialization, and perspectives",aBIOTECH,6:284-310,10.1007/s42994-025-00209-4,Consensus;Undermind,高,
10 转基因玉米,Mou T.-H. et al.,2025,Initiating the commercialization of genetically modified staple crops in China,GM Crops & Food,16:450-481,10.1080/21645698.2025.2520664,Consensus;Undermind,高,
10 转基因玉米,Sun M. et al.,2024,Commercial genetically modified corn and soybean are poised following pilot planting in China,Molecular Plant,NA,10.1016/j.molp.2024.03.005,Undermind,中,
10 转基因玉米,"Xiao Z., Kerr W.A.",2022,The political economy of China's GMO commercialization dilemma,Food and Energy Security,11(3),10.1002/fes3.409,Scholar Gateway,高,
