arm,outcome,measurement_party,n,beta,se,ci_low,ci_high,p,bh_q,se_type
Arm1_Consortium_vs_Unified,grains_per_panicle,self-reported,726.0,-5.355256995037231,2.3905802397968583,-10.0407081671922,-0.669805822882263,0.025081222511248592,0.047375642521247346,"cluster(cell,G=10)"
Arm2_Green_vs_Unified,head_rice_pct,3rd-party,106.0,-0.3906901716178748,0.65567651061587,-1.6757925179338744,0.8944121746981248,0.5512700143383287,0.5512700143383287,HC1(cells=2)
Arm2_Green_vs_Unified,chalkiness_deg_pct,3rd-party,110.0,2.8087180301826846,0.47706101903993214,1.8736956144364405,3.7437404459289287,3.919753939909467e-09,2.0905354346183823e-08,HC1(cells=2)
Arm2_Green_vs_Unified,quality_stated,3rd-party,112.0,-0.34381056201550364,0.07892898531998266,-0.4985085305789603,-0.189112593452047,1.3249218205434037e-05,5.299687282173615e-05,HC1(cells=2)
Arm2_Green_vs_Unified,quality_top2,3rd-party,70.0,-0.269298760232646,0.11081192699090897,-0.48648614619230945,-0.052111374272982486,0.015089134672714681,0.030178269345429363,HC1(cells=2)
Arm2_Green_vs_Unified,amylose_pct,3rd-party,110.0,-1.5204082605242297,0.45875343277375497,-2.4195484665449065,-0.6212680545035532,0.0009190027406541449,0.00245067397507772,HC1(cells=2)
Arm2_Green_vs_Unified,gel_mm,3rd-party,112.0,-6.558416303294585,1.809668658308408,-10.105301697529987,-3.0115309090591844,0.0002899718116329893,0.0009279097972255658,HC1(cells=2)
Arm2_Green_vs_Unified,lw_ratio,3rd-party,112.0,0.04580062984496027,0.024924428018418064,-0.0030503514064001633,0.0946516110963207,0.06612432164332459,0.08816576219109945,HC1(cells=2)
Arm2_Green_vs_Unified,neck_blast_ok,3rd-party,,,,,,,,insufficient_variation
Arm2_Green_vs_Unified,blb_grade,3rd-party,82.0,-0.5623730190979355,0.3144811494946474,-1.178744745924201,0.05399870772833004,0.07373460406442997,0.09075028192545227,HC1(cells=1)
Arm2_Green_vs_Unified,yield_gain_pct,self-reported,21.0,-0.9941666666666688,0.7183220332865348,-2.402051981209859,0.41371864787652124,0.16635463002150608,0.19011957716743552,HC1(cells=2)
Arm2_Green_vs_Unified,gain_prod_pct,self-reported,112.0,-1.0361856831395366,0.42023212858974884,-1.8598255203220493,-0.21254584595702408,0.013672825839816433,0.030178269345429363,HC1(cells=2)
Arm2_Green_vs_Unified,yield_2yr_kg_mu,self-reported,112.0,6.0732246245153405,3.2959648867950864,-0.38674784791166505,12.533197096942345,0.06538389978321123,0.08816576219109945,HC1(cells=2)
Arm2_Green_vs_Unified,duration_d,self-reported,112.0,-2.4594464631783204,0.41612470257272965,-3.2750358932983126,-1.6438570330583282,3.413625326003316e-09,2.0905354346183823e-08,HC1(cells=2)
Arm2_Green_vs_Unified,plant_height_cm,self-reported,112.0,1.3296820494185728,0.9905819500879403,-0.6118228964892436,3.2711869953263895,0.1794909244306554,0.19145698605936576,HC1(cells=2)
Arm2_Green_vs_Unified,seed_setting_pct,self-reported,112.0,2.5460138081395103,0.3961976285940981,1.7694807253349014,3.3225468909441194,1.3090142223882678e-10,2.0944227558212285e-09,HC1(cells=2)
Arm2_Green_vs_Unified,tgw_g,self-reported,112.0,0.8461258478682094,0.3565831125814621,0.14723578971335238,1.5450159060230666,0.017650410999352315,0.031378508443293006,HC1(cells=2)
Arm2_Green_vs_Unified,grains_per_panicle,self-reported,110.0,-5.247601722454483,2.8497341237530978,-10.832977970525365,0.337774525616398,0.06555775725091494,0.08816576219109945,HC1(cells=2)
