tau,wald,p,n,beta_D,beta_trendbreak,trait
2014,1.683096626339151,0.4310426175373835,946,0.8342247813475644,0.024316880510756853,yield_gain_pct
2015,1.6830966263391463,0.4310426175373845,946,0.8585416618583048,0.024316880510753692,yield_gain_pct
2016,1.6830966263391176,0.4310426175373907,946,0.8828585423690999,0.024316880510762463,yield_gain_pct
2017,5.308464341489015,0.07035283689824136,946,1.2889359756699479,0.02761506286853581,yield_gain_pct
2018,6.552509833890555,0.03776944196417531,946,0.7665490549216079,-0.06339548409091472,yield_gain_pct
2019,2.0197607770658386,0.36426254694353516,946,-0.13628659648557603,-0.08787622305260091,yield_gain_pct
2009,108.56744907251377,2.659977583760018e-24,1196,10.689135738216759,1.8989828974425738,duration_d
2010,108.56744907251628,2.6599775837566865e-24,1196,12.588118635659285,1.8989828974425915,duration_d
2011,113.22274295797847,2.594142051245421e-25,1196,3.393642375621547,-0.637091461884723,duration_d
2012,134.86409452762433,5.1836297043424726e-30,1196,3.0550811431607237,-0.7111382890328563,duration_d
2013,150.91887637196362,1.6919299892594027e-33,1196,1.8847892799630372,-0.9004711155774876,duration_d
2014,180.47124145111428,6.473927742151181e-40,1196,1.1322172994995352,-0.9767754575988761,duration_d
2015,170.5127611764099,9.410752754558598e-38,1196,-0.33172814842741527,-1.0429839270368682,duration_d
2016,176.89953046208123,3.861491067202323e-39,1196,0.06793101402182167,-0.9958998622528579,duration_d
2017,189.25457019303528,8.01479179841784e-42,1196,-1.2862567253441135,-0.9984896502231786,duration_d
2018,226.76715640489965,5.729776056069208e-50,1196,-3.137264589244399,-0.6527590790446156,duration_d
2019,186.0867272016055,3.906435072550299e-41,1196,-3.3140478799144906,-0.059253831815747615,duration_d
